Plot Title: Utsjoki 2020-2021;;;;;;;
#;Date Time, GMT+03:00;Temp, °C (LGR S/N: 10754832, SEN S/N: 10754832);Coupler Detached (LGR S/N: 10754832);Coupler Attached (LGR S/N: 10754832);Host Connected (LGR S/N: 10754832);Stopped (LGR S/N: 10754832);End Of File (LGR S/N: 10754832)
1;09.14.20 klo 02.00.00 ip.;28.270;Logged;;;;
2;09.14.20 klo 03.00.00 ip.;11.467;;;;;
3;09.14.20 klo 04.00.00 ip.;11.492;;;;;
4;09.14.20 klo 05.00.00 ip.;11.467;;;;;
5;09.14.20 klo 06.00.00 ip.;11.467;;;;;
6;09.14.20 klo 07.00.00 ip.;11.419;;;;;
7;09.14.20 klo 08.00.00 ip.;11.394;;;;;
8;09.14.20 klo 09.00.00 ip.;11.370;;;;;
9;09.14.20 klo 10.00.00 ip.;11.346;;;;;
10;09.14.20 klo 11.00.00 ip.;11.321;;;;;
11;09.15.20 klo 12.00.00 ap.;11.297;;;;;
12;09.15.20 klo 01.00.00 ap.;11.273;;;;;
13;09.15.20 klo 02.00.00 ap.;11.248;;;;;
14;09.15.20 klo 03.00.00 ap.;11.248;;;;;
15;09.15.20 klo 04.00.00 ap.;11.224;;;;;
16;09.15.20 klo 05.00.00 ap.;11.200;;;;;
17;09.15.20 klo 06.00.00 ap.;11.175;;;;;
18;09.15.20 klo 07.00.00 ap.;11.175;;;;;
19;09.15.20 klo 08.00.00 ap.;11.175;;;;;
20;09.15.20 klo 09.00.00 ap.;11.200;;;;;
21;09.15.20 klo 10.00.00 ap.;11.224;;;;;
22;09.15.20 klo 11.00.00 ap.;11.273;;;;;
23;09.15.20 klo 12.00.00 ip.;11.346;;;;;
24;09.15.20 klo 01.00.00 ip.;11.394;;;;;
25;09.15.20 klo 02.00.00 ip.;11.467;;;;;
26;09.15.20 klo 03.00.00 ip.;11.540;;;;;
27;09.15.20 klo 04.00.00 ip.;11.565;;;;;
28;09.15.20 klo 05.00.00 ip.;11.516;;;;;
29;09.15.20 klo 06.00.00 ip.;11.492;;;;;
30;09.15.20 klo 07.00.00 ip.;11.419;;;;;
31;09.15.20 klo 08.00.00 ip.;11.297;;;;;
32;09.15.20 klo 09.00.00 ip.;11.248;;;;;
33;09.15.20 klo 10.00.00 ip.;11.200;;;;;
34;09.15.20 klo 11.00.00 ip.;11.175;;;;;
35;09.16.20 klo 12.00.00 ap.;11.127;;;;;
36;09.16.20 klo 01.00.00 ap.;11.029;;;;;
37;09.16.20 klo 02.00.00 ap.;10.956;;;;;
38;09.16.20 klo 03.00.00 ap.;10.907;;;;;
39;09.16.20 klo 04.00.00 ap.;10.858;;;;;
40;09.16.20 klo 05.00.00 ap.;10.858;;;;;
41;09.16.20 klo 06.00.00 ap.;10.834;;;;;
42;09.16.20 klo 07.00.00 ap.;10.810;;;;;
43;09.16.20 klo 08.00.00 ap.;10.785;;;;;
44;09.16.20 klo 09.00.00 ap.;10.785;;;;;
45;09.16.20 klo 10.00.00 ap.;10.834;;;;;
46;09.16.20 klo 11.00.00 ap.;10.932;;;;;
47;09.16.20 klo 12.00.00 ip.;11.078;;;;;
48;09.16.20 klo 01.00.00 ip.;11.175;;;;;
49;09.16.20 klo 02.00.00 ip.;11.297;;;;;
50;09.16.20 klo 03.00.00 ip.;11.370;;;;;
51;09.16.20 klo 04.00.00 ip.;11.419;;;;;
52;09.16.20 klo 05.00.00 ip.;11.419;;;;;
53;09.16.20 klo 06.00.00 ip.;11.346;;;;;
54;09.16.20 klo 07.00.00 ip.;11.273;;;;;
55;09.16.20 klo 08.00.00 ip.;11.224;;;;;
56;09.16.20 klo 09.00.00 ip.;11.151;;;;;
57;09.16.20 klo 10.00.00 ip.;11.102;;;;;
58;09.16.20 klo 11.00.00 ip.;11.029;;;;;
59;09.17.20 klo 12.00.00 ap.;10.980;;;;;
60;09.17.20 klo 01.00.00 ap.;10.932;;;;;
61;09.17.20 klo 02.00.00 ap.;10.907;;;;;
62;09.17.20 klo 03.00.00 ap.;10.810;;;;;
63;09.17.20 klo 04.00.00 ap.;10.736;;;;;
64;09.17.20 klo 05.00.00 ap.;10.638;;;;;
65;09.17.20 klo 06.00.00 ap.;10.565;;;;;
66;09.17.20 klo 07.00.00 ap.;10.516;;;;;
67;09.17.20 klo 08.00.00 ap.;10.467;;;;;
68;09.17.20 klo 09.00.00 ap.;10.443;;;;;
69;09.17.20 klo 10.00.00 ap.;10.443;;;;;
70;09.17.20 klo 11.00.00 ap.;10.541;;;;;
71;09.17.20 klo 12.00.00 ip.;10.761;;;;;
72;09.17.20 klo 01.00.00 ip.;10.883;;;;;
73;09.17.20 klo 02.00.00 ip.;11.005;;;;;
74;09.17.20 klo 03.00.00 ip.;11.053;;;;;
75;09.17.20 klo 04.00.00 ip.;11.029;;;;;
76;09.17.20 klo 05.00.00 ip.;10.980;;;;;
77;09.17.20 klo 06.00.00 ip.;10.932;;;;;
78;09.17.20 klo 07.00.00 ip.;10.883;;;;;
79;09.17.20 klo 08.00.00 ip.;10.810;;;;;
