Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,992.8,0.3,96,-8.5,2
2017,1,1,00:10,UTC,993,,96,-8.3,2
2017,1,1,00:20,UTC,993.1,,96,-8.2,1.7
2017,1,1,00:30,UTC,993.2,,95,-8.1,1.8
2017,1,1,00:40,UTC,993.4,,95,-8.1,2
2017,1,1,00:50,UTC,993.7,,95,-7.9,2.2
2017,1,1,01:00,UTC,993.8,0,95,-8,2
2017,1,1,01:10,UTC,994,,94,-8.1,1.6
2017,1,1,01:20,UTC,994.2,,95,-7.9,1.6
2017,1,1,01:30,UTC,994.6,,94,-8.1,1.7
2017,1,1,01:40,UTC,994.7,,96,-7.7,2.4
2017,1,1,01:50,UTC,994.9,,97,-7.2,2.8
2017,1,1,02:00,UTC,995.1,0,97,-7,3.3
2017,1,1,02:10,UTC,995.2,,98,-6.4,3.2
2017,1,1,02:20,UTC,995.4,,98,-5.9,3
2017,1,1,02:30,UTC,995.5,,99,-5.1,2.4
2017,1,1,02:40,UTC,995.6,,99,-4.4,2.7
2017,1,1,02:50,UTC,995.7,,99,-4.1,2.5
2017,1,1,03:00,UTC,996,0,98,-4.3,2.4
2017,1,1,03:10,UTC,996.1,,98,-4.2,2.7
2017,1,1,03:20,UTC,996.1,,98,-4.1,2.5
2017,1,1,03:30,UTC,996.2,,98,-4,3.3
2017,1,1,03:40,UTC,996.3,,98,-4.1,2.9
2017,1,1,03:50,UTC,996.4,,97,-4.3,2.5
2017,1,1,04:00,UTC,996.6,0,97,-4.2,2.9
2017,1,1,04:10,UTC,996.7,,97,-4.4,2.9
2017,1,1,04:20,UTC,996.9,,97,-4.6,3
2017,1,1,04:30,UTC,997,,97,-4.7,2.6
2017,1,1,04:40,UTC,997.1,,97,-4.6,2.7
2017,1,1,04:50,UTC,997.3,,97,-4.4,3
2017,1,1,05:00,UTC,997.4,0,98,-4.1,3.5
2017,1,1,05:10,UTC,997.5,,98,-3.8,3.5
2017,1,1,05:20,UTC,997.6,,98,-3.7,3.4
2017,1,1,05:30,UTC,997.7,,97,-3.6,2.8
2017,1,1,05:40,UTC,997.8,,98,-3.4,3.2
2017,1,1,05:50,UTC,998,,97,-3.4,3.2
2017,1,1,06:00,UTC,998.2,0,97,-3.3,3.2
2017,1,1,06:10,UTC,998.4,,97,-3.2,3
2017,1,1,06:20,UTC,998.6,,97,-3.2,2.8
2017,1,1,06:30,UTC,998.8,,97,-3.2,2.5
2017,1,1,06:40,UTC,999,,97,-3.3,2.3
2017,1,1,06:50,UTC,999.1,,97,-3.3,2.3
2017,1,1,07:00,UTC,999.3,0.2,97,-3.3,2.2
2017,1,1,07:10,UTC,999.4,,97,-3.4,2.3
2017,1,1,07:20,UTC,999.6,,98,-3.3,3.1
2017,1,1,07:30,UTC,999.7,,98,-3.3,3.2
2017,1,1,07:40,UTC,999.8,,98,-3.3,2.4
2017,1,1,07:50,UTC,1000,,98,-3.3,2.7
2017,1,1,08:00,UTC,1000.1,0.4,97,-3.3,2.5
2017,1,1,08:10,UTC,1000.3,,97,-3.4,2.4
2017,1,1,08:20,UTC,1000.3,,97,-3.4,2.5
2017,1,1,08:30,UTC,1000.4,,97,-3.5,2.3
2017,1,1,08:40,UTC,1000.5,,97,-3.6,2.1
2017,1,1,08:50,UTC,1000.7,,97,-3.6,2.4
2017,1,1,09:00,UTC,1000.8,0.2,97,-3.6,2.3
2017,1,1,09:10,UTC,1000.9,,97,-3.6,2.2
2017,1,1,09:20,UTC,1001.1,,97,-3.7,2.4
2017,1,1,09:30,UTC,1001.3,,97,-3.8,2.5
2017,1,1,09:40,UTC,1001.2,,97,-3.8,2.5
2017,1,1,09:50,UTC,1001.4,,97,-3.8,2.7
2017,1,1,10:00,UTC,1001.5,0.1,97,-3.8,2.5
2017,1,1,10:10,UTC,1001.6,,97,-3.9,2.1
2017,1,1,10:20,UTC,1001.7,,97,-3.9,1.7
2017,1,1,10:30,UTC,1001.8,,97,-3.9,2.2
2017,1,1,10:40,UTC,1001.9,,97,-3.9,1.9
2017,1,1,10:50,UTC,1001.9,,97,-3.8,2.1
2017,1,1,11:00,UTC,1001.8,0,97,-3.8,2.4
2017,1,1,11:10,UTC,1001.9,,97,-3.8,2.5
2017,1,1,11:20,UTC,1001.9,,97,-3.8,2.6
2017,1,1,11:30,UTC,1001.9,,97,-4,2.7
2017,1,1,11:40,UTC,1002.1,,97,-4.1,2.6
2017,1,1,11:50,UTC,1002.2,,96,-4.4,1.5
2017,1,1,12:00,UTC,1002.3,0,96,-4.4,1.1
2017,1,1,12:10,UTC,1002.4,,96,-4.4,1.4
2017,1,1,12:20,UTC,1002.5,,96,-4.5,1.9
2017,1,1,12:30,UTC,1002.5,,97,-4.4,2.6
2017,1,1,12:40,UTC,1002.5,,97,-4.4,2.2
2017,1,1,12:50,UTC,1002.6,,97,-4.5,1.3
2017,1,1,13:00,UTC,1002.6,0,96,-4.5,1.6
2017,1,1,13:10,UTC,1002.5,,97,-4.5,2.1
2017,1,1,13:20,UTC,1002.6,,97,-4.5,2.6
2017,1,1,13:30,UTC,1002.7,,97,-4.4,2.8
2017,1,1,13:40,UTC,1002.7,,97,-4.4,2.3
2017,1,1,13:50,UTC,1002.8,,96,-4.5,1.3
2017,1,1,14:00,UTC,1002.9,0,96,-4.5,1.4
2017,1,1,14:10,UTC,1002.9,,96,-4.5,1.4
2017,1,1,14:20,UTC,1003.1,,97,-4.4,1.8
2017,1,1,14:30,UTC,1003.2,,97,-4.3,1.1
2017,1,1,14:40,UTC,1003.2,,97,-4.2,2.1
2017,1,1,14:50,UTC,1003.3,,97,-4.1,1.9
2017,1,1,15:00,UTC,1003.4,0.2,98,-4.1,2
2017,1,1,15:10,UTC,1003.5,,97,-4,2.2
2017,1,1,15:20,UTC,1003.6,,97,-4,2
2017,1,1,15:30,UTC,1003.7,,97,-3.9,2.7
2017,1,1,15:40,UTC,1003.9,,97,-3.9,2.3
2017,1,1,15:50,UTC,1004,,97,-3.9,1.5
2017,1,1,16:00,UTC,1004,0.3,97,-3.9,1.9
2017,1,1,16:10,UTC,1004,,96,-4,1.8
2017,1,1,16:20,UTC,1004,,96,-4.1,2.1
2017,1,1,16:30,UTC,1004.1,,95,-4.1,2
2017,1,1,16:40,UTC,1004.2,,95,-4.2,1.8
2017,1,1,16:50,UTC,1004.2,,95,-4.2,3.3
2017,1,1,17:00,UTC,1004.2,0,95,-4.3,4
2017,1,1,17:10,UTC,1004.2,,95,-4.3,3.4
2017,1,1,17:20,UTC,1004.3,,95,-4.4,2
2017,1,1,17:30,UTC,1004.5,,95,-4.6,2.1
2017,1,1,17:40,UTC,1004.5,,95,-4.6,2.1
2017,1,1,17:50,UTC,1004.4,,95,-4.7,2.2
2017,1,1,18:00,UTC,1004.4,0,95,-4.8,1.9
2017,1,1,18:10,UTC,1004.2,,94,-5.2,1.2
2017,1,1,18:20,UTC,1004.4,,94,-5.2,1
2017,1,1,18:30,UTC,1004.6,,94,-5.5,1.9
2017,1,1,18:40,UTC,1004.4,,95,-5.5,1.8
2017,1,1,18:50,UTC,1004.5,,95,-5.6,1.9
2017,1,1,19:00,UTC,1004.6,0,95,-5.7,3.2
2017,1,1,19:10,UTC,1004.6,,95,-5.9,3.1
2017,1,1,19:20,UTC,1004.7,,95,-6,2.6
2017,1,1,19:30,UTC,1004.7,,95,-6.1,2.7
2017,1,1,19:40,UTC,1004.8,,94,-6.3,2.5
2017,1,1,19:50,UTC,1004.8,,92,-6.8,1.9
2017,1,1,20:00,UTC,1004.8,0,91,-7.1,1.2
2017,1,1,20:10,UTC,1004.9,,90,-7.6,0.9
2017,1,1,20:20,UTC,1004.9,,90,-7.8,1.2
2017,1,1,20:30,UTC,1005.1,,88,-8.3,1.8
2017,1,1,20:40,UTC,1005.1,,88,-9,1.2
